{ 0 1 7 14 21 24 26 35 37 39 }
{ 0 1 7 16 20 21 24 26 31 37 }
{ 0 1 7 16 20 21 24 26 35 37 }
{ 0 1 7 17 18 21 24 26 31 37 }
{ 0 1 7 17 18 21 24 26 35 37 }
{ 0 1 7 17 21 23 24 26 31 37 }
{ 0 1 7 17 21 23 24 26 35 37 }
{ 0 1 7 17 21 24 26 30 31 37 }
{ 0 1 7 17 21 24 26 30 35 37 }
{ 0 1 7 17 21 24 26 31 37 38 }
{ 0 1 7 17 21 24 26 31 37 39 }
{ 0 1 7 17 21 24 26 35 37 38 }
{ 0 1 7 17 21 24 26 35 37 39 }
{ 0 1 7 18 20 21 24 26 31 37 }
{ 0 1 7 18 20 21 24 26 35 37 }
{ 0 1 7 20 21 23 24 26 31 37 }
{ 0 1 7 20 21 23 24 26 35 37 }
{ 0 1 7 20 21 24 26 30 31 37 }
{ 0 1 7 20 21 24 26 30 35 37 }
{ 0 1 7 20 21 24 26 31 37 38 }
{ 0 1 7 20 21 24 26 31 37 39 }
{ 0 1 7 20 21 24 26 35 37 38 }
{ 0 1 7 20 21 24 26 35 37 39 }
{ 0 1 9 10 16 21 24 26 31 37 }
{ 0 1 9 10 16 21 24 26 35 37 }
{ 0 1 9 10 18 21 24 26 31 37 }
{ 0 1 9 10 18 21 24 26 35 37 }
{ 0 1 9 10 21 23 24 26 31 37 }
{ 0 1 9 10 21 23 24 26 35 37 }
{ 0 1 9 10 21 24 26 30 31 37 }
{ 0 1 9 10 21 24 26 30 35 37 }
{ 0 1 9 10 21 24 26 31 37 38 }
{ 0 1 9 10 21 24 26 31 37 39 }
{ 0 1 9 10 21 24 26 35 37 38 }
{ 0 1 9 10 21 24 26 35 37 39 }
{ 0 1 9 15 18 21 24 26 31 37 }
{ 0 1 9 15 18 21 24 26 35 37 }
{ 0 1 9 15 21 23 24 26 31 37 }
{ 0 1 9 15 21 23 24 26 35 37 }
{ 0 1 9 15 21 24 26 30 31 37 }
{ 0 1 9 15 21 24 26 30 35 37 }
{ 0 1 9 15 21 24 26 31 37 38 }
{ 0 1 9 15 21 24 26 31 37 39 }
{ 0 1 9 15 21 24 26 35 37 38 }
{ 0 1 9 15 21 24 26 35 37 39 }
{ 0 1 9 16 21 24 26 31 34 37 }
{ 0 1 9 16 21 24 26 31 37 41 }
{ 0 1 9 16 21 24 26 34 35 37 }
{ 0 1 9 16 21 24 26 35 37 41 }
{ 0 1 9 18 21 24 26 31 34 37 }
