{ 1 8 9 11 15 19 20 25 36 }
{ 1 8 9 11 15 19 20 27 36 }
{ 1 8 9 11 15 19 22 25 36 }
{ 1 8 9 11 15 19 22 27 36 }
{ 1 8 9 11 15 19 23 25 36 }
{ 1 8 9 11 15 19 23 27 36 }
{ 1 8 9 11 15 19 24 25 36 }
{ 1 8 9 11 15 19 24 27 36 }
{ 1 8 9 11 15 19 25 26 36 }
{ 1 8 9 11 15 19 25 28 36 }
{ 1 8 9 11 15 19 25 31 36 }
{ 1 8 9 11 15 19 25 32 36 }
{ 1 8 9 11 15 19 25 33 36 }
{ 1 8 9 11 15 19 25 34 36 }
{ 1 8 9 11 15 19 25 36 39 }
{ 1 8 9 11 15 19 26 27 36 }
{ 1 8 9 11 15 19 27 28 36 }
{ 1 8 9 11 15 19 27 31 36 }
{ 1 8 9 11 15 19 27 32 36 }
{ 1 8 9 11 15 19 27 33 36 }
{ 1 8 9 11 15 19 27 34 36 }
{ 1 8 9 11 15 19 27 36 39 }
{ 1 8 9 11 15 20 21 25 36 }
{ 1 8 9 11 15 20 21 27 36 }
{ 1 8 9 11 15 20 25 29 36 }
{ 1 8 9 11 15 20 25 30 36 }
{ 1 8 9 11 15 20 25 36 38 }
{ 1 8 9 11 15 20 27 29 36 }
{ 1 8 9 11 15 20 27 30 36 }
{ 1 8 9 11 15 20 27 36 38 }
{ 1 8 9 11 15 21 22 25 36 }
{ 1 8 9 11 15 21 22 27 36 }
{ 1 8 9 11 15 21 23 25 36 }
{ 1 8 9 11 15 21 23 27 36 }
{ 1 8 9 11 15 21 24 25 36 }
{ 1 8 9 11 15 21 24 27 36 }
{ 1 8 9 11 15 21 25 26 36 }
{ 1 8 9 11 15 21 25 28 36 }
{ 1 8 9 11 15 21 25 31 36 }
{ 1 8 9 11 15 21 25 32 36 }
{ 1 8 9 11 15 21 25 33 36 }
{ 1 8 9 11 15 21 25 34 36 }
{ 1 8 9 11 15 21 25 36 39 }
{ 1 8 9 11 15 21 26 27 36 }
{ 1 8 9 11 15 21 27 28 36 }
{ 1 8 9 11 15 21 27 31 36 }
{ 1 8 9 11 15 21 27 32 36 }
{ 1 8 9 11 15 21 27 33 36 }
{ 1 8 9 11 15 21 27 34 36 }
{ 1 8 9 11 15 21 27 36 39 }
{ 1 8 9 11 15 22 25 29 36 }
{ 1 8 9 11 15 22 25 30 36 }
{ 1 8 9 11 15 22 25 36 38 }
{ 1 8 9 11 15 22 27 29 36 }
{ 1 8 9 11 15 22 27 30 36 }
{ 1 8 9 11 15 22 27 36 38 }
{ 1 8 9 11 15 23 25 29 36 }
{ 1 8 9 11 15 23 25 30 36 }
{ 1 8 9 11 15 23 25 36 38 }
{ 1 8 9 11 15 23 27 29 36 }
{ 1 8 9 11 15 23 27 30 36 }
{ 1 8 9 11 15 23 27 36 38 }
{ 1 8 9 11 15 24 25 29 36 }
{ 1 8 9 11 15 24 25 30 36 }
{ 1 8 9 11 15 24 25 36 38 }
{ 1 8 9 11 15 24 27 29 36 }
{ 1 8 9 11 15 24 27 30 36 }
{ 1 8 9 11 15 24 27 36 38 }
{ 1 8 9 11 15 25 26 29 36 }
