data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
735,22/07/13,08:03,10:56,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,2,2,P,L,2
736,22/07/13,08:03,11:03,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,0,0,N,L,2
737,22/07/13,08:18,11:05,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,41,41,P,L,2
738,22/07/13,08:03,12:32,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,19,19,P,L,2
739,22/07/13,08:18,12:38,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,47,47,P,L,2
740,22/07/13,08:18,12:38,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,10,10,P,L,2
741,22/07/13,08:03,12:40,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,1,1,P,L,2
742,03/08/13,09:30,11:15,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,13,5,P,L,1
743,03/08/13,09:30,11:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,26,18,P,L,1
744,03/08/13,09:30,12:58,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,14,6,P,L,1
745,03/08/13,09:30,13:01,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,42,34,P,L,1
746,03/08/13,09:30,13:04,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,43,35,N,L,1
747,03/08/13,09:30,13:04,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,6,0,N,L,1
748,03/08/13,09:30,13:05,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,14,3,0,N,L,1
749,03/08/13,09:30,13:20,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,19,11,N,L,1
750,03/08/13,09:30,13:27,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,22,14,N,L,1
751,03/06/13,09:00,13:27,Calluna_vulgaris,other_solitary_bees,Andrena,10,0,0,P,L,5
752,03/06/13,09:00,13:27,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,44,36,P,L,5
753,03/06/13,09:00,13:27,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,11,3,P,L,5
754,03/06/13,09:00,13:27,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,10,2,P,L,5
755,03/06/13,09:00,13:27,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,8,0,P,L,5
756,03/06/13,09:00,13:27,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,9,1,P,L,5
757,05/08/13,12:15,12:35,Calluna_vulgaris,small_syrphid,Stratiomys potamida,20,0,0,N,L,1
758,05/08/13,12:15,12:35,Calluna_vulgaris,small_syrphid,Stratiomys potamida,20,0,0,N,L,1
759,05/08/13,12:15,12:35,Calluna_vulgaris,large_syrphid,Syrphus rectus,5,0,0,PN,L,1
760,05/08/13,12:15,12:35,Calluna_vulgaris,Episyrphus,Episyrphus,6,0,0,PN,L,1
761,05/08/13,12:20,13:20,Calluna_vulgaris,Episyrphus,Episyrphus (male),NA,0,0,NA,L,7
762,05/08/13,12:20,13:20,Calluna_vulgaris,Episyrphus,Episyrphus (male),NA,2,0,NA,L,7
763,05/08/13,12:20,13:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,9,1,NA,L,7
764,05/08/13,12:20,13:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,24,16,NA,L,7
765,05/08/13,12:20,13:40,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,16,8,NA,L,7
766,05/08/13,11:55,12:42,Calluna_vulgaris,muscid,muscid med grey,9,0,0,PN,L,6
767,05/08/13,11:55,12:55,Erica_cinerea,small_syrphid,Platycheirus,3,15,15,P,L,6
768,05/08/13,11:55,13:04,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,4,16,16,PN,L,6
769,05/08/13,11:55,13:54,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,3,1,1,N,L,6
770,06/08/13,08:50,09:05,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,1,0,N,L,1
771,06/08/13,08:50,09:20,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,6,0,P,L,1
772,06/08/13,08:50,09:20,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,7,0,P,L,1
773,06/08/13,08:50,09:20,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,15,7,P,L,1
774,06/08/13,08:50,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,6,0,P,L,1
775,06/08/13,08:50,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,6,0,P,L,1
776,06/08/13,08:50,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,8,0,P,L,1
777,06/08/13,08:50,09:33,Calluna_vulgaris,muscid,muscid,12,1,0,N,L,1
778,06/08/13,08:50,09:33,Calluna_vulgaris,muscid,muscid,6,1,0,N,L,1
779,06/08/13,08:50,09:42,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,9,1,N,L,1
780,06/08/13,08:50,09:42,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,2,0,N,L,1
781,06/08/13,08:50,09:42,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,31,23,N,L,1
782,06/08/13,08:50,09:42,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,16,8,N,L,1
783,06/08/13,08:50,10:10,Calluna_vulgaris,muscid,muscid,21,3,0,N,L,1
784,06/08/13,08:50,10:21,Calluna_vulgaris,muscid,muscid,10,15,7,N,L,1
785,06/08/13,08:50,10:24,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,10,7,0,N,L,1
786,06/08/13,08:50,10:24,Calluna_vulgaris,small_syrphid,Melascaeva,3,4,0,PN,L,1
787,06/08/13,08:50,10:42,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,20,12,P,L,1
788,06/08/13,08:50,11:07,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,51,43,P,L,1
789,06/08/13,08:50,11:07,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,7,0,P,L,1
790,06/08/13,08:50,11:48,Calluna_vulgaris,Eupeodes,Eupeodes,5,9,1,NA,L,1
791,06/08/13,08:50,11:48,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus lucorum (male),10,0,0,N,L,1
792,06/08/13,08:50,11:48,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus lucorum (male),8,19,11,N,L,1
793,06/08/13,08:50,12:09,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,10,10,2,P,L,1
794,06/08/13,08:50,12:39,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,8,60,52,P,L,1
795,06/08/13,08:50,12:48,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,4,63,55,N,L,1
796,06/08/13,08:50,12:52,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,5,28,20,N,L,1
797,07/08/13,08:40,09:58,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,7,0,N,L,1
798,07/08/13,08:40,09:58,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,0,0,N,L,1
799,07/08/13,08:40,09:58,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,9,1,N,L,1
800,07/08/13,08:40,10:05,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,32,24,N,L,1
801,07/08/13,08:40,10:24,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,18,10,P,L,1
802,07/08/13,08:40,10:24,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,P,L,1
803,07/08/13,08:40,10:33,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus terrestris (queen),11,104,96,P,L,1
804,07/08/13,08:40,10:46,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,7,0,N,L,1
805,07/08/13,08:40,11:05,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,16,8,N,L,1
806,07/08/13,08:40,11:05,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,12,4,N,L,1
807,07/08/13,08:40,11:13,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,10,2,P,L,1
808,07/08/13,08:40,11:18,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,8,24,16,N,L,1
809,07/08/13,08:40,11:18,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,10,11,3,N,L,1
810,07/08/13,08:40,11:55,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,10,2,N,L,1
811,07/08/13,08:40,12:02,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,6,20,12,N,L,1
812,07/08/13,08:40,12:03,Calluna_vulgaris,Episyrphus,Episyrphus,6,28,20,P,L,1
813,07/08/13,08:40,12:20,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,53,45,P,L,1
814,07/08/13,08:40,13:45,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,16,18,10,N,L,1
815,03/08/13,09:00,NA,Calluna_vulgaris,other_solitary_bees,Andrena,51,14,6,NA,L,4
816,03/08/13,09:00,NA,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus terrestris,19,5,0,NA,L,4
817,03/08/13,09:00,NA,Calluna_vulgaris,other_solitary_bees,Andrena,NA,8,0,NA,L,4
818,03/08/13,09:00,NA,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,28,20,NA,L,4
819,03/08/13,09:00,NA,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,6,0,NA,L,4
820,03/08/13,09:00,NA,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,12,4,NA,L,4
821,05/08/13,12:15,12:54,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,21,13,NA,L,4
822,05/08/13,12:15,13:13,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,23,15,NA,L,4
823,05/08/13,12:15,13:54,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,19,11,NA,L,4
824,05/08/13,12:15,13:56,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus lucorum (male),NA,5,0,N,L,4
825,05/08/13,12:15,13:32,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,104,96,P,L,5
826,05/08/13,12:15,13:37,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus lucorum (male),6,49,41,N,L,5
827,05/08/13,12:15,13:38,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,75,67,N,L,5
828,05/08/13,12:15,13:40,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,21,13,N,L,5
829,05/08/13,12:15,13:46,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,31,23,N,L,5
830,06/08/13,08:45,09:15,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,36,28,N,L,5
831,06/08/13,08:45,09:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,11,3,N,L,5
832,06/08/13,08:45,09:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,3,0,N,L,5
833,06/08/13,08:45,09:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,22,14,N,L,5
834,06/08/13,08:45,09:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,20,12,N,L,5
835,06/08/13,08:45,09:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,27,19,N,L,5
836,06/08/13,08:45,09:26,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,67,59,N,L,5
837,06/08/13,08:45,09:26,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,75,67,N,L,5
838,06/08/13,08:45,09:26,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,4,0,N,L,5
839,06/08/13,08:45,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,6,0,N,L,5
840,06/08/13,08:45,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,46,38,N,L,5
841,06/08/13,08:45,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,46,38,N,L,5
842,06/08/13,08:45,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,19,11,N,L,5
843,06/08/13,08:45,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,40,32,N,L,5
844,06/08/13,08:45,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,31,23,N,L,5
845,06/08/13,08:45,09:30,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,40,32,N,L,5
846,06/08/13,08:45,10:07,Calluna_vulgaris,Eupeodes,Eupeodes,5,38,30,N,L,5
847,06/08/13,08:45,10:14,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,34,26,N,L,5
848,06/08/13,08:45,10:27,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,5,9,1,N,L,5
849,06/08/13,08:45,10:37,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,14,6,N,L,5
850,06/08/13,08:45,10:38,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,25,17,N,L,5
851,06/08/13,08:45,11:00,Calluna_vulgaris,muscid,muscid large grey,6,42,34,N,L,5
852,06/08/13,08:45,11:04,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,8,0,N,L,5
853,06/08/13,08:45,11:04,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,30,22,N,L,5
854,06/08/13,08:45,11:07,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,8,0,N,L,5
855,06/08/13,08:45,12:03,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,11,3,P,L,5
856,06/08/13,08:45,12:03,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,28,20,P,L,5
857,06/08/13,08:45,12:17,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,7,0,N,L,5
858,06/08/13,08:45,12:23,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,33,25,N,L,5
859,06/08/13,08:45,12:23,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,43,35,N,L,5
860,06/08/13,08:45,12:23,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,20,12,N,L,5
861,06/08/13,08:45,12:23,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,18,10,N,L,5
862,06/08/13,08:45,12:24,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,55,47,N,L,5
863,06/08/13,08:45,12:24,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,41,33,N,L,5
864,06/08/13,08:45,12:24,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,51,43,N,L,5
865,06/08/13,08:45,12:24,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,19,11,N,L,5
866,06/08/13,08:45,12:24,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,7,0,N,L,5
867,06/08/13,08:45,12:40,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,6,43,35,N,L,5
868,06/08/13,08:45,12:40,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,7,67,59,N,L,5
869,06/08/13,08:45,12:40,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,5,25,17,N,L,5
870,06/08/13,08:45,12:40,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,4,31,23,N,L,5
871,06/08/13,08:45,12:40,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,4,36,28,N,L,5
872,06/08/13,08:45,12:40,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,6,28,20,N,L,5
873,06/08/13,08:45,12:40,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,30,22,P,L,5
874,06/08/13,08:45,12:49,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,38,30,P,L,5
875,06/08/13,08:45,12:57,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,9,66,58,P,L,5
876,06/08/13,08:45,12:57,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,31,23,P,L,5
877,06/08/13,08:45,12:59,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,36,28,P,L,5
878,06/08/13,08:45,12:59,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,46,38,P,L,5
879,06/08/13,08:45,13:09,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,7,31,23,P,L,5
880,06/08/13,08:45,13:09,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,35,27,P,L,5
881,06/08/13,08:45,13:09,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,42,34,P,L,5
882,06/08/13,08:45,13:11,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,35,27,P,L,5
883,06/08/13,08:45,13:11,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,21,13,P,L,5
884,06/08/13,08:45,13:22,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,34,26,N,L,5
885,08/08/13,09:00,09:10,Calluna_vulgaris,muscid,muscid (med sized grey common one in collection),15,11,3,N,L,1
886,08/08/13,09:00,09:24,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,0,0,N,L,1
887,08/08/13,09:00,09:34,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,10,7,0,N,L,1
888,08/08/13,09:00,09:40,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,0,0,N,L,1
889,08/08/13,09:00,09:42,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,18,4,0,NA,L,1
890,08/08/13,09:00,09:50,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,0,0,N,L,1
891,08/08/13,09:00,10:10,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,6,0,N,L,1
892,08/08/13,09:00,10:14,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,0,0,N,L,1
893,08/08/13,09:00,10:16,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,29,3,0,NA,L,1
894,08/08/13,09:00,10:19,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,7,0,N,L,1
895,08/08/13,09:00,10:20,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,8,0,N,L,1
896,08/08/13,09:00,10:46,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,12,14,6,N,L,1
897,08/08/13,09:00,10:47,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,8,34,26,NA,L,1
898,08/08/13,09:00,11:00,Calluna_vulgaris,other_solitary_bees,Andrena,4,34,26,P,L,1
899,08/08/13,09:00,11:27,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,0,0,N,L,1
900,08/08/13,09:00,11:35,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,7,0,0,N,L,1
901,08/08/13,09:00,11:52,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,133,125,N,L,1
902,08/08/13,09:00,12:00,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,4,63,55,N,L,1
903,08/08/13,09:00,12:44,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,25,17,N,L,1
904,08/08/13,09:00,12:57,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,45,37,N,L,1
905,09/08/13,15:15,15:44,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,14,12,4,N,L,1
906,09/08/13,15:15,16:05,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,19,11,P,L,1
907,09/08/13,15:15,16:09,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,0,0,N,L,1
908,09/08/13,15:15,16:18,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,9,43,35,N,L,1
909,09/08/13,15:15,16:31,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,53,45,N,L,1
910,09/08/13,15:15,16:37,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,27,19,P,L,1
911,09/08/13,15:15,16:43,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,6,39,31,N,L,1
912,09/08/13,15:15,16:43,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,6,0,0,N,L,1
913,09/08/13,15:15,16:44,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,18,10,N,L,1
914,09/08/13,15:15,17:00,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,12,4,N,L,1
915,09/08/13,15:15,17:16,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,17,21,13,N,L,1
916,09/08/13,15:15,18:02,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,19,11,P,L,1
917,07/08/13,09:25,10:00,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,46,38,P,L,5
918,07/08/13,09:25,10:00,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,66,58,P,L,5
919,07/08/13,09:25,11:14,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,12,92,84,N,L,5
920,07/08/13,09:25,11:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,43,35,N,L,5
921,07/08/13,09:25,11:21,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,77,69,N,L,5
922,07/08/13,09:25,11:45,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,47,39,P,L,5
923,07/08/13,09:25,11:50,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,76,68,P,L,5
924,07/08/13,09:25,11:50,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,67,59,P,L,5
925,07/08/13,09:25,11:50,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,93,85,P,L,5
926,07/08/13,09:25,11:51,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,49,41,P,L,5
927,07/08/13,09:25,11:51,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,49,41,P,L,5
928,07/08/13,09:25,11:15,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,22,14,P,L,5
929,07/08/13,09:25,12:00,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,48,40,N,L,5
930,07/08/13,09:25,13:45,Calluna_vulgaris,large_syrphid,Helophilous sp.,7,7,0,P,L,5
931,08/08/13,08:50,09:30,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,27,19,N,L,5
932,08/08/13,08:50,09:32,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,9,37,29,P,L,5
933,08/08/13,08:50,09:32,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,37,29,P,L,5
934,08/08/13,08:50,09:32,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,35,27,P,L,5
935,08/08/13,08:50,09:32,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,25,17,P,L,5
936,08/08/13,08:50,09:33,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,34,26,P,L,5
937,08/08/13,08:50,09:35,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,113,105,P,L,5
938,08/08/13,08:50,09:36,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,84,76,P,L,5
939,08/08/13,08:50,09:41,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,46,38,N,L,5
940,08/08/13,08:50,09:44,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,71,63,P,L,5
941,08/08/13,08:50,09:56,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,50,42,P,L,5
942,08/08/13,08:50,09:56,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,44,36,P,L,5
943,08/08/13,08:50,09:56,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,49,41,P,L,5
944,08/08/13,08:50,09:56,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,26,18,P,L,5
945,08/08/13,08:50,09:57,Calluna_vulgaris,muscid,muscid small black,4,35,27,P,L,5
946,08/08/13,08:50,09:59,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,32,24,P,L,5
947,08/08/13,08:50,10:02,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,82,74,P,L,5
948,08/08/13,08:50,10:26,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,9,53,45,N,L,5
949,08/08/13,11:00,11:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,40,32,P,L,5
950,08/08/13,11:00,11:21,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,44,36,N,L,5
951,08/08/13,11:00,11:31,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,12,131,123,P,L,5
952,08/08/13,11:00,11:31,Calluna_vulgaris,muscid,muscid (black with orange abdomen),90,72,64,N,L,5
953,08/08/13,11:00,11:39,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,6,100,92,P,L,5
954,08/08/13,11:00,11:41,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,16,14,6,N,L,5
