data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
428,08/07/13,17:00,18:37,Erica_cinerea,halictid,Lasioglossum,20,43,43,P,L,1
429,08/07/13,17:00,18:45,Erica_cinerea,Apis_mellifera,Apis_mellifera,6,3,3,N,L,1
430,08/07/13,17:00,18:47,Erica_tetralix,halictid,Lasioglossum,10,0,0,P,L,1
431,08/07/13,17:00,19:17,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,10,10,P,L,1
432,08/07/13,08:18,09:27,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,6,107,107,P,L,2
433,08/07/13,08:18,09:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,2,2,N,L,2
434,08/07/13,08:18,09:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,13,9,9,N,L,2
435,08/07/13,08:18,09:43,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,11,11,P,L,2
436,08/07/13,08:18,09:43,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,80,80,P,L,2
437,08/07/13,08:27,10:05,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,1,3,3,P,L,2
438,08/07/13,08:27,11:22,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,20,0,0,N,R,2
439,08/07/13,08:09,15:59,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,38,38,N,L,2
440,08/07/13,08:09,16:00,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,6,6,N,L,2
441,08/07/13,08:09,16:00,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,0,0,N,L,2
442,09/07/13,08:11,10:36,Erica_cinerea,halictid,Lasioglossum,5,14,14,P,L,2
443,09/07/13,08:01,10:51,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,N,R,2
444,09/07/13,08:01,18:30,Erica_tetralix,ant,Lasius,58,0,0,N,R,2
445,09/07/13,08:11,19:09,Erica_cinerea,Apis_mellifera,Apis_mellifera mellifora,5,4,4,P,L,2
446,09/07/13,08:25,19:10,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,4,40,40,P,L,2
447,09/07/13,08:25,19:10,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,5,152,152,P,L,2
448,08/07/13,08:22,11:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,2,2,N,L,3
449,08/07/13,08:22,11:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,22,22,N,R,3
450,08/07/13,08:22,11:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,15,15,N,R,3
